Date,Company,Ticker Symbol,Currency,Open,High,Low,Close,Adj Close,Volume
2/1/2014,Sony Interactive Entertainment,SONY,JPY,3.12,3.53,3.05,3.51,2.99,301831500.00
3/1/2014,Sony Interactive Entertainment,SONY,JPY,3.44,3.85,3.38,3.82,3.26,244896000.00
4/1/2014,Sony Interactive Entertainment,SONY,JPY,3.88,3.89,3.49,3.53,3.03,155506000.00
5/1/2014,Sony Interactive Entertainment,SONY,JPY,3.37,3.55,3.19,3.24,2.78,267099000.00
6/1/2014,Sony Interactive Entertainment,SONY,JPY,3.26,3.40,3.19,3.35,2.88,254587000.00
7/1/2014,Sony Interactive Entertainment,SONY,JPY,3.37,3.82,3.29,3.69,3.16,262470500.00
8/1/2014,Sony Interactive Entertainment,SONY,JPY,3.61,3.84,3.43,3.82,3.28,225112000.00
9/1/2014,Sony Interactive Entertainment,SONY,JPY,3.86,4.07,3.44,3.61,3.10,382225500.00
10/1/2014,Sony Interactive Entertainment,SONY,JPY,3.58,3.98,3.31,3.96,3.40,304192500.00
11/1/2014,Sony Interactive Entertainment,SONY,JPY,3.93,4.41,3.90,4.40,3.77,275644500.00
12/1/2014,Sony Interactive Entertainment,SONY,JPY,4.45,4.46,3.94,4.09,3.51,242166000.00
1/1/2015,Sony Interactive Entertainment,SONY,JPY,4.09,4.78,4.03,4.66,4.00,231809500.00
2/1/2015,Sony Interactive Entertainment,SONY,JPY,4.59,5.73,4.58,5.66,4.86,240468500.00
3/1/2015,Sony Interactive Entertainment,SONY,JPY,5.59,5.66,5.14,5.36,4.59,159991000.00
4/1/2015,Sony Interactive Entertainment,SONY,JPY,5.49,6.52,5.40,6.05,5.19,231528000.00
5/1/2015,Sony Interactive Entertainment,SONY,JPY,6.06,6.59,5.95,6.18,5.30,147745500.00
6/1/2015,Sony Interactive Entertainment,SONY,JPY,6.17,6.34,5.66,5.68,4.87,122887500.00
7/1/2015,Sony Interactive Entertainment,SONY,JPY,5.69,6.00,5.35,5.67,4.86,207928500.00
8/1/2015,Sony Interactive Entertainment,SONY,JPY,5.58,5.60,4.30,5.16,4.42,128470000.00
9/1/2015,Sony Interactive Entertainment,SONY,JPY,5.03,5.37,4.65,4.90,4.20,155974500.00
10/1/2015,Sony Interactive Entertainment,SONY,JPY,4.96,5.82,4.91,5.68,4.89,120784500.00
11/1/2015,Sony Interactive Entertainment,SONY,JPY,5.71,5.82,5.17,5.18,4.46,69499500.00
12/1/2015,Sony Interactive Entertainment,SONY,JPY,5.24,5.27,4.79,4.92,4.24,128819000.00
1/1/2016,Sony Interactive Entertainment,SONY,JPY,4.89,5.14,3.98,4.78,4.11,227809000.00
2/1/2016,Sony Interactive Entertainment,SONY,JPY,4.65,4.67,4.02,4.22,3.64,135604500.00
3/1/2016,Sony Interactive Entertainment,SONY,JPY,4.26,5.30,4.25,5.14,4.43,160414500.00
4/1/2016,Sony Interactive Entertainment,SONY,JPY,4.95,5.63,4.79,4.82,4.16,198867500.00
5/1/2016,Sony Interactive Entertainment,SONY,JPY,4.99,5.62,4.72,5.57,4.81,178482500.00
6/1/2016,Sony Interactive Entertainment,SONY,JPY,5.57,5.89,5.37,5.87,5.07,127226500.00
7/1/2016,Sony Interactive Entertainment,SONY,JPY,5.83,6.70,5.81,6.68,5.77,136312500.00
8/1/2016,Sony Interactive Entertainment,SONY,JPY,6.60,6.74,6.40,6.43,5.56,103435500.00
9/1/2016,Sony Interactive Entertainment,SONY,JPY,6.40,6.83,6.34,6.64,5.74,100224000.00
10/1/2016,Sony Interactive Entertainment,SONY,JPY,6.59,6.73,6.22,6.27,5.43,89743000.00
11/1/2016,Sony Interactive Entertainment,SONY,JPY,6.32,6.37,5.81,5.81,5.03,113825500.00
12/1/2016,Sony Interactive Entertainment,SONY,JPY,5.70,5.95,5.54,5.61,4.85,82928000.00
1/1/2017,Sony Interactive Entertainment,SONY,JPY,5.62,6.24,5.61,6.05,5.24,93622500.00
2/1/2017,Sony Interactive Entertainment,SONY,JPY,6.04,6.44,6.01,6.19,5.36,72777000.00
3/1/2017,Sony Interactive Entertainment,SONY,JPY,6.25,6.76,6.14,6.75,5.84,74318000.00
4/1/2017,Sony Interactive Entertainment,SONY,JPY,6.59,6.92,6.26,6.90,6.06,80556000.00
5/1/2017,Sony Interactive Entertainment,SONY,JPY,6.93,7.36,6.88,7.32,6.43,114056500.00
6/1/2017,Sony Interactive Entertainment,SONY,JPY,7.28,7.79,7.26,7.64,6.71,106373000.00
7/1/2017,Sony Interactive Entertainment,SONY,JPY,7.67,8.33,7.46,8.21,7.21,79334500.00
8/1/2017,Sony Interactive Entertainment,SONY,JPY,8.30,8.33,7.63,7.93,6.96,76805500.00
9/1/2017,Sony Interactive Entertainment,SONY,JPY,7.97,8.10,7.28,7.47,6.56,73624500.00
10/1/2017,Sony Interactive Entertainment,SONY,JPY,7.46,9.05,7.25,8.68,7.74,105941000.00
11/1/2017,Sony Interactive Entertainment,SONY,JPY,8.71,9.67,8.67,9.36,8.35,107150500.00
12/1/2017,Sony Interactive Entertainment,SONY,JPY,9.17,9.27,8.87,8.99,8.02,76390500.00
1/1/2018,Sony Interactive Entertainment,SONY,JPY,9.09,10.39,9.05,9.59,8.55,118143000.00
2/1/2018,Sony Interactive Entertainment,SONY,JPY,9.72,10.78,9.07,10.09,9.00,143769000.00
3/1/2018,Sony Interactive Entertainment,SONY,JPY,9.96,10.32,9.51,9.67,8.62,129379000.00
4/1/2018,Sony Interactive Entertainment,SONY,JPY,9.68,10.12,8.91,9.17,8.29,146523500.00
5/1/2018,Sony Interactive Entertainment,SONY,JPY,9.20,9.80,9.13,9.42,8.52,113329000.00
6/1/2018,Sony Interactive Entertainment,SONY,JPY,9.47,10.37,9.47,10.25,9.28,97413500.00
7/1/2018,Sony Interactive Entertainment,SONY,JPY,10.08,11.10,9.70,10.80,9.78,84311000.00
8/1/2018,Sony Interactive Entertainment,SONY,JPY,10.97,11.44,10.62,11.37,10.28,109433500.00
9/1/2018,Sony Interactive Entertainment,SONY,JPY,11.28,12.20,11.04,12.13,10.98,103155000.00
10/1/2018,Sony Interactive Entertainment,SONY,JPY,12.16,12.20,10.06,10.83,9.91,164253500.00
11/1/2018,Sony Interactive Entertainment,SONY,JPY,11.10,11.14,9.86,10.56,9.67,113843500.00
12/1/2018,Sony Interactive Entertainment,SONY,JPY,10.82,10.87,9.13,9.66,8.84,94203500.00
1/1/2019,Sony Interactive Entertainment,SONY,JPY,9.51,10.11,9.38,10.02,9.17,95528000.00
2/1/2019,Sony Interactive Entertainment,SONY,JPY,10.00,10.01,8.49,9.60,8.78,183042000.00
3/1/2019,Sony Interactive Entertainment,SONY,JPY,9.56,9.61,8.38,8.45,7.73,133856500.00
4/1/2019,Sony Interactive Entertainment,SONY,JPY,8.54,10.18,8.41,10.07,9.42,213772000.00
5/1/2019,Sony Interactive Entertainment,SONY,JPY,10.08,10.72,9.54,9.60,8.98,206125500.00
6/1/2019,Sony Interactive Entertainment,SONY,JPY,9.60,10.82,9.46,10.48,9.80,156528000.00
7/1/2019,Sony Interactive Entertainment,SONY,JPY,10.71,11.48,10.60,11.37,10.63,154723000.00
8/1/2019,Sony Interactive Entertainment,SONY,JPY,11.29,11.52,10.66,11.38,10.64,124329000.00
9/1/2019,Sony Interactive Entertainment,SONY,JPY,11.44,12.15,11.40,11.83,11.06,89641500.00
10/1/2019,Sony Interactive Entertainment,SONY,JPY,11.70,12.35,11.30,12.17,11.55,93335500.00
11/1/2019,Sony Interactive Entertainment,SONY,JPY,12.25,12.75,12.03,12.70,12.06,94025500.00
12/1/2019,Sony Interactive Entertainment,SONY,JPY,12.69,13.69,12.54,13.60,12.92,100707500.00
1/1/2020,Sony Interactive Entertainment,SONY,JPY,13.66,14.59,13.59,14.04,13.33,111652000.00
2/1/2020,Sony Interactive Entertainment,SONY,JPY,14.06,14.77,11.87,12.44,11.81,139071500.00
3/1/2020,Sony Interactive Entertainment,SONY,JPY,12.72,12.99,10.19,11.84,11.24,194865500.00
4/1/2020,Sony Interactive Entertainment,SONY,JPY,11.59,12.97,11.33,12.85,12.25,156279000.00
5/1/2020,Sony Interactive Entertainment,SONY,JPY,12.65,13.28,12.27,12.95,12.35,131713000.00
6/1/2020,Sony Interactive Entertainment,SONY,JPY,12.98,14.47,12.91,13.83,13.18,148310000.00
7/1/2020,Sony Interactive Entertainment,SONY,JPY,13.83,15.75,13.80,15.59,14.86,107342500.00
8/1/2020,Sony Interactive Entertainment,SONY,JPY,15.74,16.83,15.64,15.73,14.99,122719000.00
9/1/2020,Sony Interactive Entertainment,SONY,JPY,15.85,16.03,15.12,15.35,14.63,102526500.00
10/1/2020,Sony Interactive Entertainment,SONY,JPY,15.38,16.81,14.49,16.73,16.00,120230000.00
11/1/2020,Sony Interactive Entertainment,SONY,JPY,16.82,18.90,16.81,18.66,17.84,123206000.00
12/1/2020,Sony Interactive Entertainment,SONY,JPY,18.83,20.28,18.43,20.22,19.34,99565500.00
1/1/2021,Sony Interactive Entertainment,SONY,JPY,20.30,21.00,19.02,19.14,18.30,94190000.00
2/1/2021,Sony Interactive Entertainment,SONY,JPY,19.52,23.70,19.39,21.16,20.24,114478000.00
